Province_State,State_Code,25-Jul,26-Jul,27-Jul,29-Jul,2-Aug,3-Aug,4-Aug,5-Aug,8-Aug,10-Aug,11-Aug,12-Aug
Alabama,AL,5,5,6,16,19,19,19,19,21,24,27,30
Alaska,AK,0,0,0,1,1,1,1,2,2,2,2,2
Arizona,AZ,35,35,41,50,80,85,90,102,131,149,163,170
Arkansas,AR,4,4,4,4,5,5,6,9,9,12,14,15
California,CA,356,356,799,799,826,826,826,826,1310,1892,1892,1945
Colorado,CO,53,53,53,53,53,53,78,78,78,111,111,111
Connecticut,CT,22,24,28,33,39,39,43,43,48,54,57,59
Delaware,DE,3,3,3,4,5,5,5,6,6,8,8,8
District of Columbia,DC,139,191,205,218,248,257,280,283,303,319,319,328
Florida,FL,273,309,332,373,480,525,577,633,936,1018,1053,1085
Georgia,GA,268,289,312,351,455,504,544,596,625,775,824,851
Hawaii,HI,10,10,10,10,10,10,10,11,11,11,12,12
Idaho,ID,2,2,3,4,5,5,5,7,7,8,9,9
Illinois,IL,344,350,385,419,533,547,571,602,672,717,734,771
Indiana,IN,33,33,37,49,58,62,63,68,77,77,77,78
Iowa,IA,7,8,9,10,10,11,11,12,13,13,13,15
Kansas,KS,2,1,1,1,1,1,1,1,2,2,3,3
Kentucky,KY,4,6,6,8,8,8,9,9,11,10,11,11
Louisiana,LA,25,26,28,38,56,58,69,74,83,92,97,103
Maine,ME,0,1,1,1,1,2,2,2,2,3,3,3
Maryland,MD,87,91,101,117,149,157,162,182,215,236,259,275
Massachusetts,MA,82,96,113,116,134,134,157,157,174,174,202,202
Michigan,MI,24,24,28,28,34,56,65,70,70,77,82,92
Minnesota,MN,20,25,28,33,38,39,44,46,52,58,61,66
Mississippi,MS,1,1,1,3,4,4,6,6,7,8,11,11
Missouri,MO,8,5,6,9,10,12,13,14,15,18,19,20
Montana,MT,,,,,,,0,0,1,2,2,2
Nebraska,NE,5,5,8,10,10,10,10,12,14,14,14,15
Nevada,NV,11,11,11,14,25,26,26,29,39,56,59,74
New Hampshire,NH,6,6,7,9,13,14,14,15,15,15,15,15
New Jersey,NJ,81,89,102,118,155,160,188,188,243,277,293,293
New Mexico,NM,7,7,7,7,10,10,10,10,13,13,16,16
New York,NY,990,900,1228,1345,1617,1666,1748,1862,1960,2132,2187,2295
Non-US Resident,,3,3,3,,3,3,,,,3,3,3
North Carolina,NC,34,38,15,53,69,72,86,95,111,122,131,138
North Dakota,ND,1,1,1,1,1,1,1,1,2,2,2,2
Ohio,OH,15,17,17,23,30,34,38,45,68,75,78,89
Oklahoma,OK,4,8,8,9,10,10,11,11,11,12,12,12
Oregon,OR,40,40,51,58,74,75,78,80,80,93,95,95
Pennsylvania,PA,84,95,114,125,170,173,192,205,234,268,282,298
Puerto Rico,PR,9,10,10,14,19,19,19,19,32,32,43,48
Rhode Island,RI,10,13,16,19,24,26,28,29,31,32,31,31
South Carolina,SC,12,12,13,16,23,23,28,30,39,44,49,60
South Dakota,SD,1,1,1,1,1,1,1,1,1,2,2,2
Tennessee,TN,18,20,21,26,37,39,40,42,52,62,67,67
Texas,TX,220,223,287,351,485,527,559,606,702,780,815,815
Utah,UT,11,22,22,27,37,41,43,46,48,57,64,69
Vermont,VT,,,,,1,1,1,1,1,1,1,2
Virginia,VA,39,40,39,76,105,105,122,122,145,175,175,175
Washington,WA,69,69,103,120,123,134,174,175,183,220,234,251
West Virginia,WV,1,1,2,3,3,3,3,3,4,4,4,4
Wisconsin,WI,9,12,13,13,19,19,22,22,22,31,31,31
Wyoming,WY,,,,,,,0,0,0,0,0,0
